phase,workload,nodes,edges,samples,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes
pure_machine_events_preseeded,graph_chain,1,0,40,1000,1900,900,3200,0,0
pure_machine_events_preseeded,graph_chain,10,9,40,7950,11000,7600,15100,0,0
pure_machine_events_preseeded,graph_chain,100,99,40,121400,126800,120100,127200,0,0
pure_machine_events_preseeded,graph_chain,1000,999,40,6808250,6974800,6651500,7555200,0,0
representative_application,application_hash_handwritten,10,9,40,600,600,500,600,0,0
representative_application,application_hash_handwritten,100,99,40,6100,6200,5900,6200,0,0
representative_application,application_hash_sdax,10,9,40,30150,31500,28800,108700,0,0
representative_application,application_hash_sdax,100,99,40,355200,365300,339700,367500,0,0
representative_application_alloc,application_hash_sdax,10,9,0,,,,,654,66354
representative_application_alloc,application_hash_sdax,100,99,0,,,,,5983,772740
