phase,workload,nodes,edges,samples,p05_ns,median_ns,p95_ns,min_ns,max_ns,allocations,allocated_bytes,peak_live_bytes,retained_bytes
engine_execution,effect_unknown_recovery_resolved,1,0,40,16203,16556,16926,16130,17296,0,0,0,0
engine_execution,graph_chain,1,0,40,10741,11130,11500,10537,11686,0,0,0,0
engine_execution,graph_chain,10,9,40,62611,63371,64408,62611,68112,0,0,0,0
engine_execution,graph_chain,100,99,40,745336,763696,786669,739446,796484,0,0,0,0
engine_execution,graph_chain,1000,999,40,34598032,35072496,36132741,34436624,36769798,0,0,0,0
engine_execution,graph_sparse,1,0,40,10778,11148,11389,10759,11667,0,0,0,0
engine_execution,graph_sparse,10,9,40,61722,62250,63111,61537,67167,0,0,0,0
engine_execution,graph_sparse,100,99,40,707705,710863,718780,706780,719892,0,0,0,0
engine_execution,graph_sparse,1000,999,40,26444340,26592007,27319547,26443877,30520705,0,0,0,0
engine_execution,graph_wide,1,0,40,10833,11139,11481,10648,12389,0,0,0,0
engine_execution,graph_wide,10,9,40,61204,62175,62926,61148,71130,0,0,0,0
engine_execution,graph_wide,100,99,40,657131,660613,674928,656428,683299,0,0,0,0
engine_execution,graph_wide,1000,999,40,18790391,18998733,19348078,18787261,19504911,0,0,0,0
engine_execution,resident_ready_shutdown,1,0,40,16537,16889,17241,16500,17315,0,0,0,0
engine_execution,resource_cancel_after_acquire,1,0,40,18815,19305,20278,18704,30667,0,0,0,0
engine_execution,resource_cleanup_error_upstream,3,1,40,33945,34518,35315,33889,35611,0,0,0,0
engine_execution,resource_normal,2,1,40,22186,22583,22834,22093,23129,0,0,0,0
engine_execution,resource_release_failure,2,1,40,23593,23898,24407,23537,24686,0,0,0,0
engine_execution,resource_startup_failure,2,1,40,23463,23823,24408,23352,35055,0,0,0,0
engine_execution,retry_one_failure,1,0,40,16352,16648,16982,16351,17481,0,0,0,0
engine_execution,service_restart_exhausted,1,0,40,19166,19490,19926,19149,20296,0,0,0,0
